QID	TITLE	BODY	CATEGORY	PUBLISHEDDATE
YA:20160420022511AAek5lN	How to select party lawns in Mumbai?		Garden & Landscape	1461144311000
YA:20160420022659AAuLFmG	Advice on losing my pooch the easy way?		Diet & Fitness	1461144420000
YA:20160420022813AACaVZV	What is the best weight loss methods?		Diet & Fitness	1461144493000
YA:20160420022935AAbome2	What is the purpose of each step in the thermocycler?		Basketball	1461144576000
YA:20160420023145AAULZKx	What is my pet name?		Other - Pets	1461144705000
YA:20160420023237AAh5EHe	I Want my husbands dick size big and increase sex power. And I purchase Vigaorasule Capsule from Amaria Pharmacy. It Is right Product?		Men's Health	1461144757000
YA:20160420023346AAj42l7	Please give me the link of that popular yahoo! answers cricket section group on facebook you all on about?		Cricket	1461144826000
YA:20160420023555AAnxm8m	Have a 2007 accord, it jerks when put in drive. It delays when put on drive, it won't work until i shift from P to D severally. please help.?		Maintenance & Repairs	1461144955000
YA:20160420023847AAXxNb3	How to fix wek relaxed coloured hair?	Well I dyed my hair light red.. I have a hair routine.. I follow every rules about relaxed hair but I really want to dye my hair black because sometimes my hair comes out.. not too much but sometimes it worries me..I think it s the hair dye.. do you have any suggestions (i do deep contidioning treatment.. protein.. I moisturize my hair with a water base.. I use virgin olive oil.. Argan... omega 3 Shea butter etc)	Hair	1461145127000
YA:20160420023955AA4pSXD	Girls please check out this guy!?	Hi girls! Please look at this guy and say what you think of him below. Thanks! http://i328.photobucket.com/albumsl357/gquestions/image_zps9cus9cupxdwd.jpeg 1) what's your first impression? 2) describe his face - be honest! 3) is he single or has he got a girlfriend? Why? 4) if he asked you out for a date, what would you say? Why? 5). How old is he and why did you choose this age? PLEASE GIVE YOUR AGE AND NATIONALITY! thanks a lot, I mean it!	Other - Beauty & Style	1461145195000
YA:20160420024207AALrLsl	What is up with Mahabali shera SIGN contract with WWE?		Wrestling	1461145327000
YA:20160420024538AAjfQ7N	Bleeding going on five days after period?	Whats the cause? Is it a second period? It's lighter than my normal periods because i only see blood when i wipe. Day 1 of the bleeding started off heavy that i needed a pad. I'm also experiencing very mild cramping...	Women's Health	1461145538000
YA:20160420024552AAWpreN	Dog related question?	Due to a recent post i have started to question how I treat my cocker spaniel Jerry. Is it bad I give him cornflakes, with milk and sugar? I know people give dogs left overs but is this damaging for him?	Dogs	1461145552000
YA:20160420024851AA6Yp2v	Laughing turns into a bad day?	Whenever I laugh too hard.. a bad day will come. I avoid laughing everyday but... how can I avoid laughing guys? I am so fed up of bad days. It sucks.. plz help guys... do you know why does it happens or can u Google it for me?	Mental Health	1461145731000
YA:20160420025102AAlFirA	I think im gonna have a mental breakdown?	I think im gonna have a mental breakdown. Ive had the same dream for quite some time where i have a mental breakdown and im breaking everything i see. I also fear that ill hurt my family members. Even in my dream i was chasing my mom and dad. What should i do? Im scared ill hurt myself or others? I cant really go out to seek help cuz im 17. Im having a bad feeling in my gut. Even though im happy and i love my parents but still i have this fear in the back of my head.	Mental Health	1461145862000
YA:20160420025339AARIaSG	2nd Gear shifting problem Transmission or solenoid?	Hello all I have a 2001 Acura TL 3.2. with 90K+ I am having a problem with second gear. Not all the time but very often. Whats happening is instead of shifting to second gear the rpm goes goes to like 4000rpm (I never let it go past that) then I let go of the petal to bring the rmps back down then press petal again and it shifts to second. All the other gears are good. Is this a transmission problem or maybe a solenoid? Can anyone help me? Thanks all.	Maintenance & Repairs	1461146019000
YA:20160420025439AAJw6G2	What evidence did this historian give for his belief that Hitler would not have been stopped prior to 1939?	In this excerpt, the author argues that the discussion about stopping Hitler prior to 1939 was not an issue, for several reasons. [N]either the people nor the government of [Britain and France] were conditioned to the idea of war .... Before September 1, 1939, Hitler had done nothing that any major power considered dangerous enough to warrant precipitating [starting] a major European war. Nor was there any existing coalition that could have opposed Hitler's massive forces. For Britain sought to appease Hitler [and] the French feared a repetition of the bloody sacrifices of 1914-1918. Stalin wanted an agreement with Hitler on partitioning Europe and the United States rejected all responsibility for Europe. Source: Keith Eubank, Origins of World War II, Thomas Y. Crowell Co., 1969 (adapted)	History	1461146079000
YA:20160420025539AAj7C0O	I need help please open.?	It's about to be 2 weeks this Saturday coming up that I went to my doctor to get a check up because I had some itching around my private area and it turned out that it was just a yeast infection and they gave me a pill and told me not to have sex for a week. I did as the doctor said and had no sex. Today my boyfriend was giving me oral and he noticed something that my fluids tasted "different" in other words I guess really sour ( nasty ) . My vagina doesn't smell and there's no itching, there's white discharge but that doesn't smell either. I've been diagnosed with BV in the past and I'm not getting those symptoms, also when I went to the doctor my vagina already had that "taste" and I'm pretty sure if I had a BV the doctor would've prescribed me two medications. What can I do about this? Should I see another doctor? Or does my diet maybe have something to do with this? I need suggestions please	Women's Health	1461146139000
YA:20160420025748AAuWBQZ	Why is the a line indention on the back of my neck?	Its like creases on the back of my neck. I can t remeber when I got it or if I ve always had it. I do know I became aware of it a few years back. And they aren t stretch marks. Any ideas?	Skin Conditions	1461146268000
YA:20160420025902AAqqD2O	How can I burn a lot of fat?		Diet & Fitness	1461146342000
YA:20160420030049AAYV0s5	Why do people dislike Roman Reigns from the WWE?	2 days ago on Monday everyone was booing him why do people hate him so much he's not all the bad! :o	Wrestling	1461146449000
YA:20160420030217AAsiNKt	What do you think of when you see a pair of wood sunglasses?		Fashion & Accessories	1461146537000
YA:20160420030303AASrVIi	Compare Aztec, Incan, and Mayan before Columbus arrived.?	Be sure to include their religious beliefs, economies, social classes (if any), government types, and gender roles/relationships	History	1461146583000
YA:20160420030435AAJQpZG	Describe the Mughal and Ottoman Empires .?	Describe the Mughal and Ottoman Empires. Please include similarities and differences in their religious tolerance, religions, leaders, gender relations, and government types.	History	1461146675000
YA:20160420030729AA1vElb	My family members won't leave me alone when I'm not anxious, they always bring up my anxiety and the thought of it triggers me. What do I do?		Mental Health	1461146849000
YA:20160420030841AA02PAe	Conor McGregor and Nate Diaz; did they both retire?		Martial Arts	1461146921000
YA:20160420031000AA3Q3W6	How much money would I need to take to Guyana? Staying for two weeks, I m going from NYC.?		Packing & Preparation	1461147000000
YA:20160420031342AABfuYG	Which Hawaiian island should i visit?	I m a 19/20 year old planning a trip with my 15 year old sister in late july/august to Hawaii (don t worry, I/we aren t into drinking and partying - just looking for safe, relaxing vacation lol). We ve already visited Maui before, and wanted to some opinions on which island to visit next! We mostly just want to relax on the beach, spa treatments, etc but we are also open to a little adventure. We are open to visiting Maui again, but would prefer to explore a new island!	Honolulu	1461147222000
YA:20160420031651AAmUJ6P	Why did my tooth all of a sudden get really sensitive?	I was just sitting at table eating sour patch kids (only my 4th one) and I noticed when I opened my mouth my right k9 tooth felt like my front teeth when I bite into ice cream. The weird thing is, when I just touch the bottom of it with my finger , it feels like that weird sensitive feeling. I can't touch it, or eat with it. Any help would be appreciated!!	Dental	1461147411000
YA:20160420031846AAxzdMs	Treatment of abscesses on my scalp?		Skin Conditions	1461147526000
YA:20160420032017AAwDEO8	How to get rid of hip dips,please please read !! ;(?	I cant put a pictute but ill try to put a link . Its like in the picture but much deeper ! :( There's like a dent between my hips and thighs. I hate it soon much !! I can't wear jeans of tight dress or skirts because they just look weird. It makes my butt look so small, inward and weird I hate it :( I hate wearing Jean's because I will look all skinny from my under and my hip bones stick out. I can't wear bikinis and can't look good in underwear, it's like my underwear is squeezing my hip area;( ,I'm forced to wear longer shirts. I don't know weather I'm skinny or average , I'm turning 18 soon, 5'0 110 pounds, measurements are 32-36-34 (thigh area) . I try to pose with one side pushed out but the other side looks so straight and weird. When I push my butt cheeks out a little ,it forms a rounder hip, which I want :( . I dont know if its gentics because it doesn't seem like anyone from my family have it.I can't learn to accept it, is there anyway I could get rid of it? Please help	Fashion & Accessories	1461147617000
YA:20160420032035AAU3xwy	If a spanish support a sport club like real or barca.does he often mostly care about the football club but care much less about other sport?	If he support real does he care mostly about real football(cr7 bale and others) much more than realmadrid basketball?	Other - Spain	1461147635000
